# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	8.71626896e-02	4.65703686e-02	4.05923210e-02	-1.64405470e-03	-1.26675568e-03	-3.77299019e-04	-4.44728329e-04	2.98902383e-03	4.85105521e-03	1.73395494e-01	9.15488023e-02	8.18466918e-02
2               	1.66175639e-01	8.60551586e-02	8.01204808e-02	-1.81992318e-03	-2.11273140e-03	2.92808215e-04	-1.20276981e-03	2.96733888e-03	2.44017263e-02	1.70694720e-01	1.09749086e-01	6.09456335e-02
3               	1.68279286e-01	8.69533044e-02	8.13259818e-02	-1.27596658e-03	-2.07927799e-03	8.03311412e-04	-1.44129470e-03	2.81366132e-03	2.36401027e-02	1.73375189e-01	1.10327697e-01	6.30474916e-02
4               	1.16669047e-01	6.08769413e-02	5.57921058e-02	-1.93197444e-04	-1.40649497e-03	1.21329752e-03	-1.30989625e-03	2.54241777e-03	8.81557496e-03	1.79176690e-01	9.84039198e-02	8.07727699e-02
5               	4.46459965e-02	2.46430570e-02	2.00029394e-02	8.12005685e-04	-6.29947987e-04	1.44195367e-03	-1.03595083e-03	2.32005880e-03	-1.09586046e-02	1.85087221e-01	8.15850061e-02	1.03502215e-01
6               	-1.62327582e-02	-5.89259686e-03	-1.03401614e-02	1.35096349e-03	-4.83933623e-05	1.39935685e-03	-7.23875108e-04	2.22378225e-03	-2.71095105e-02	1.88579659e-01	6.71803189e-02	1.21399340e-01
7               	-4.73128180e-02	-2.14171212e-02	-2.58956968e-02	1.38243917e-03	2.57256845e-04	1.12518232e-03	-4.33962740e-04	2.23928778e-03	-3.46762407e-02	1.88505456e-01	5.95764871e-02	1.28928969e-01
8               	-4.57852790e-02	-2.06309678e-02	-2.51543112e-02	1.15066543e-03	3.80627920e-04	7.70037510e-04	-1.94704795e-04	2.26167169e-03	-3.31266245e-02	1.85278380e-01	5.95125655e-02	1.25765814e-01
9               	-2.09970982e-02	-8.24919118e-03	-1.27479070e-02	8.58168716e-04	4.25941387e-04	4.32227329e-04	-3.14297075e-06	2.24935791e-03	-2.52846938e-02	1.80381033e-01	6.49058229e-02	1.15475210e-01
10              	1.17618858e-02	8.11376791e-03	3.64811791e-03	5.58473181e-04	3.65251664e-04	1.93221516e-04	8.60150741e-05	2.23282500e-03	-1.55908063e-02	1.75760319e-01	7.22893533e-02	1.03470966e-01
