# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	8.71721726e-02	4.65716939e-02	4.06004787e-02	-1.63258864e-03	-1.26262535e-03	-3.69963284e-04	-4.46331035e-04	2.98560756e-03	4.85370415e-03	1.73394744e-01	9.15510760e-02	8.18436677e-02
2               	1.66183632e-01	8.60540980e-02	8.01295345e-02	-1.79870224e-03	-2.10561287e-03	3.06910629e-04	-1.20626175e-03	2.96228173e-03	2.44046932e-02	1.70693371e-01	1.09751379e-01	6.09419921e-02
3               	1.68277482e-01	8.69421759e-02	8.13353059e-02	-1.23034332e-03	-2.06618746e-03	8.35844141e-04	-1.45101580e-03	2.80343497e-03	2.36412669e-02	1.73373449e-01	1.10327991e-01	6.30454573e-02
4               	1.16660359e-01	6.08562032e-02	5.58041554e-02	-1.19126395e-04	-1.38620896e-03	1.26708257e-03	-1.32664576e-03	2.52602392e-03	8.81612198e-03	1.79172944e-01	9.84025939e-02	8.07703500e-02
5               	4.46346497e-02	2.46174373e-02	2.00172123e-02	8.99451714e-04	-6.04820849e-04	1.50427256e-03	-1.05454671e-03	2.30011248e-03	-1.09586745e-02	1.85083616e-01	8.15831335e-02	1.03500482e-01
6               	-1.62400860e-02	-5.91635772e-03	-1.03237283e-02	1.43367692e-03	-2.32272705e-05	1.45690419e-03	-7.40065730e-04	2.20368527e-03	-2.71093572e-02	1.88576248e-01	6.71787667e-02	1.21397481e-01
7               	-4.73066322e-02	-2.14303099e-02	-2.58763223e-02	1.44342933e-03	2.78534408e-04	1.16489492e-03	-4.43180255e-04	2.22300620e-03	-3.46739388e-02	1.88501620e-01	5.95768712e-02	1.28924749e-01
8               	-4.57612558e-02	-2.06300372e-02	-2.51312186e-02	1.18565119e-03	3.97629388e-04	7.88021805e-04	-1.95196208e-04	2.25059070e-03	-3.31210950e-02	1.85274174e-01	5.95159921e-02	1.25758182e-01
9               	-2.09736354e-02	-8.24288564e-03	-1.27307498e-02	8.67508134e-04	4.36640624e-04	4.30867510e-04	2.88655724e-06	2.24393207e-03	-2.52808448e-02	1.80379509e-01	6.49089095e-02	1.15470599e-01
10              	1.17750167e-02	8.12021530e-03	3.65480138e-03	5.46044796e-04	3.67463683e-04	1.78581112e-04	9.44412857e-05	2.23270696e-03	-1.55899432e-02	1.75760269e-01	7.22901913e-02	1.03470078e-01
11              	3.83747750e-02	2.14652633e-02	1.69095117e-02	2.05680718e-04	1.74244562e-04	3.14361564e-05	7.14042028e-05	2.27787578e-03	-8.08163702e-03	1.73088114e-01	7.84624202e-02	9.46256943e-02
12              	5.06325315e-02	2.76971818e-02	2.29353497e-02	-7.23645281e-05	-5.93944845e-05	-1.29700436e-05	-2.32122204e-05	2.38091602e-03	-5.00491991e-03	1.73045315e-01	8.15177377e-02	9.15275775e-02
13              	4.79421194e-02	2.65371596e-02	2.14049598e-02	-3.96735824e-04	-3.57398670e-04	-3.93371542e-05	-1.59030758e-04	2.56609992e-03	-6.36041372e-03	1.75189217e-01	8.12341947e-02	9.39550221e-02
