# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	h_solver        	h_initial       	h_final         	h_iters         	h_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	DILUPBiCGStab	9.99268260e-01	9.49839930e-02	1	1.00000000e+00	9.47332450e-02	2	1.00000000e+00	1.00377190e-02	2	false	DILUPBiCGStab	9.99956160e-01	2.14293030e-02	1	true	DILUPBiCGStab	9.99999940e-01	5.22403790e-03	1	true	GAMG	1.00000000e+00	6.69380300e-03	14	true
2               	DILUPBiCGStab	3.90597970e-04	5.01094180e-06	1	4.24069390e-02	4.92988550e-04	1	2.09012400e-03	2.45241470e-05	1	false	DILUPBiCGStab	2.70594220e-04	3.66730910e-06	1	true	DILUPBiCGStab	8.45643220e-05	5.86047630e-07	1	true	GAMG	2.15964070e-03	1.51312170e-05	14	true
3               	DILUPBiCGStab	3.34115100e-04	4.45777680e-06	1	3.02224740e-02	3.68387150e-04	1	8.93426530e-04	1.04804630e-05	1	false	DILUPBiCGStab	5.35977140e-04	7.91733060e-06	1	true	DILUPBiCGStab	4.67672130e-05	4.70640150e-07	1	true	GAMG	1.74824580e-03	1.70556470e-05	11	true
4               	DILUPBiCGStab	2.06685700e-04	2.77388640e-06	1	1.46490210e-02	1.79501690e-04	1	3.68090310e-04	4.01850570e-06	1	false	DILUPBiCGStab	8.59078230e-04	1.30976950e-05	1	true	DILUPBiCGStab	3.43319070e-05	5.63793770e-07	1	true	GAMG	2.53254730e-03	1.67399730e-05	12	true
5               	DILUPBiCGStab	1.34923990e-04	1.54831300e-06	1	5.65799830e-03	5.58363960e-05	1	1.37556250e-04	1.30021690e-06	1	false	DILUPBiCGStab	1.42449690e-03	2.30020650e-05	1	true	DILUPBiCGStab	2.93854800e-05	6.72006080e-07	1	true	GAMG	4.36733210e-03	3.24751610e-05	12	true
6               	DILUPBiCGStab	1.04649150e-04	7.26352480e-07	1	2.26741460e-03	3.70838810e-05	1	4.26801180e-05	1.04604940e-06	1	false	DILUPBiCGStab	3.60585200e-03	6.65192290e-05	1	true	DILUPBiCGStab	2.59172300e-05	6.25861000e-07	1	true	GAMG	2.57939870e-02	2.35913060e-04	11	true
7               	DILUPBiCGStab	1.20254950e-04	1.01648610e-06	1	6.82811110e-03	1.05369980e-04	1	1.00151150e-04	2.67771380e-06	1	false	DILUPBiCGStab	4.14904800e-03	8.95228410e-05	1	true	DILUPBiCGStab	2.20962580e-05	4.93291620e-07	1	true	GAMG	7.04481240e-03	5.84726100e-05	10	true
8               	DILUPBiCGStab	1.25626580e-04	1.27027640e-06	1	1.38765700e-02	1.89469380e-04	1	1.43226860e-04	3.19259090e-06	1	false	DILUPBiCGStab	1.20551940e-03	2.44252280e-05	1	true	DILUPBiCGStab	1.99058120e-05	3.93641320e-07	1	true	GAMG	5.08985870e-03	4.42449900e-05	11	true
9               	DILUPBiCGStab	1.03475830e-04	1.19542010e-06	1	3.27190470e-02	4.13652180e-04	1	1.42962340e-04	2.40381790e-06	1	false	DILUPBiCGStab	7.58050700e-04	1.32973560e-05	1	true	DILUPBiCGStab	1.90301800e-05	3.46940690e-07	1	true	GAMG	6.14604850e-03	4.78501570e-05	13	true
10              	DILUPBiCGStab	8.29018720e-05	9.07744500e-07	1	2.24510650e-02	3.20508640e-04	1	8.85555390e-05	9.60132600e-07	1	false	DILUPBiCGStab	5.73598340e-04	9.08197300e-06	1	true	DILUPBiCGStab	1.88530940e-05	3.14357340e-07	1	true	GAMG	1.12298840e-02	8.52784980e-05	13	true
11              	DILUPBiCGStab	1.23144170e-04	9.44568040e-07	1	1.33834020e-02	4.13907310e-04	1	7.50694380e-05	1.59254380e-06	1	false	DILUPBiCGStab	4.56700760e-04	6.70501510e-06	1	true	DILUPBiCGStab	1.89165080e-05	3.05455400e-07	1	true	GAMG	3.37292350e-02	2.86302850e-04	11	true
12              	DILUPBiCGStab	1.66285120e-04	1.19771190e-06	1	3.53590860e-02	1.13996270e-03	1	1.11503760e-04	3.21308460e-06	1	false	DILUPBiCGStab	3.75186530e-04	5.26554960e-06	1	true	DILUPBiCGStab	1.90899050e-05	3.16915450e-07	1	true	GAMG	8.68847750e-03	7.90618400e-05	9	true
13              	DILUPBiCGStab	1.59959380e-04	1.22482960e-06	1	2.78196750e-02	7.87133150e-04	1	1.08262790e-04	3.29887420e-06	1	false	DILUPBiCGStab	3.15611910e-04	4.45149200e-06	1	true	DILUPBiCGStab	1.94796390e-05	3.41788130e-07	1	true	GAMG	7.37831920e-03	5.59517830e-05	11	true
14              	DILUPBiCGStab	1.18966400e-04	9.99790870e-07	1	8.79951910e-03	1.45405810e-04	1	7.44106140e-05	2.24857080e-06	1	false	DILUPBiCGStab	2.66090570e-04	3.98738680e-06	1	true	DILUPBiCGStab	2.00474500e-05	3.66828440e-07	1	true	GAMG	8.48074270e-03	7.64057250e-05	11	true
15              	DILUPBiCGStab	7.59736310e-05	7.74785870e-07	1	3.91440060e-03	6.61312080e-05	1	3.94560200e-05	7.22831320e-07	1	false	DILUPBiCGStab	2.28606400e-04	3.72612640e-06	1	true	DILUPBiCGStab	2.06343050e-05	3.72175640e-07	1	true	GAMG	1.31023490e-02	9.84014420e-05	14	true
16              	DILUPBiCGStab	5.96549810e-05	6.92592800e-07	1	4.42424770e-03	1.49477700e-04	1	3.41700440e-05	4.68641130e-07	1	false	DILUPBiCGStab	1.96688130e-04	3.42574500e-06	1	true	DILUPBiCGStab	2.12368650e-05	3.56011170e-07	1	true	GAMG	1.38290560e-01	1.07383130e-03	12	true
17              	DILUPBiCGStab	8.74500420e-05	6.27437250e-07	1	6.96982100e-03	2.62674010e-04	1	4.42624600e-05	7.90805300e-07	1	false	DILUPBiCGStab	1.69597980e-04	3.00201390e-06	1	true	DILUPBiCGStab	2.18425070e-05	3.36169560e-07	1	true	GAMG	2.07385700e-02	1.53391980e-04	11	true
