# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	1.24555560e-01	6.52369829e-02	5.93185770e-02	-7.58423335e-05	-2.07654962e-03	2.00070729e-03	-2.03862845e-03	2.95920292e-03	7.35552265e-03	2.07235992e-01	1.10973519e-01	9.62624735e-02
2               	2.34463595e-01	1.20432285e-01	1.14031310e-01	-3.24720745e-05	-3.74906752e-03	3.71659545e-03	-3.73283149e-03	3.20048716e-03	1.66085389e-02	2.26019118e-01	1.29618098e-01	9.64010200e-02
3               	2.35607400e-01	1.21031103e-01	1.14576297e-01	1.86212355e-04	-3.48251595e-03	3.66872831e-03	-3.57562213e-03	3.22740301e-03	1.38694257e-02	2.32373584e-01	1.30056218e-01	1.02317366e-01
4               	1.66070570e-01	8.60272827e-02	8.00432871e-02	6.14844084e-04	-1.92058196e-03	2.53542604e-03	-2.22800400e-03	2.99199780e-03	4.49570534e-03	2.24941708e-01	1.16966559e-01	1.07975148e-01
5               	6.92160928e-02	3.72628865e-02	3.19532064e-02	1.03545310e-03	6.66905979e-05	9.68762499e-04	-4.51035950e-04	2.65484005e-03	-6.57411231e-03	2.09857989e-01	9.83548820e-02	1.11503107e-01
6               	-1.64175898e-02	-5.82237302e-03	-1.05952168e-02	1.26466434e-03	1.67976988e-03	-4.15105539e-04	1.04743771e-03	2.38642188e-03	-1.49973576e-02	1.93977714e-01	8.19914994e-02	1.11986215e-01
7               	-6.56579365e-02	-3.05111963e-02	-3.51467402e-02	1.10971584e-03	2.42967588e-03	-1.31996005e-03	1.87481796e-03	2.31777200e-03	-1.85108795e-02	1.82937278e-01	7.29577595e-02	1.09979518e-01
8               	-7.11447708e-02	-3.31095733e-02	-3.80351975e-02	5.53846224e-04	2.23230801e-03	-1.67846178e-03	1.95538490e-03	2.46281214e-03	-1.70651654e-02	1.79249667e-01	7.25596681e-02	1.06689999e-01
9               	-4.20132446e-02	-1.82977414e-02	-2.37155033e-02	-1.05269796e-04	1.41664502e-03	-1.52191482e-03	1.46927992e-03	2.70888096e-03	-1.23181744e-02	1.82353192e-01	7.88584215e-02	1.03494770e-01
10              	2.90857871e-03	4.40316378e-03	-1.49458507e-03	-6.80389928e-04	3.66900353e-04	-1.04729028e-03	7.07095317e-04	2.94887443e-03	-6.53305780e-03	1.88778634e-01	8.78562593e-02	1.00922375e-01
11              	4.47958767e-02	2.54985810e-02	1.92972957e-02	-1.00062051e-03	-5.29195912e-04	-4.71424595e-04	-2.88856586e-05	3.10064269e-03	-1.85803221e-03	1.95299490e-01	9.57917130e-02	9.95077775e-02
12              	7.04109310e-02	3.83572854e-02	3.20536456e-02	-1.06226395e-03	-1.02149636e-03	-4.07675934e-05	-4.90364382e-04	3.15181991e-03	3.09929024e-04	1.99944760e-01	1.00282309e-01	9.96624511e-02
13              	7.53929928e-02	4.08188650e-02	3.45741278e-02	-9.36924917e-04	-1.06253813e-03	1.25613213e-04	-5.94075672e-04	3.12236863e-03	-1.80170473e-04	2.01771008e-01	1.00705333e-01	1.01065674e-01
