# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	h_solver        	h_initial       	h_final         	h_iters         	h_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	DILUPBiCGStab	9.99114910e-01	2.53334290e-02	2	1.00000000e+00	7.24616060e-02	1	1.00000000e+00	8.47379320e-02	2	false	DILUPBiCGStab	9.99989080e-01	3.63635020e-02	1	true	DILUPBiCGStab	9.99999820e-01	3.89012700e-03	1	true	GAMG	1.00000000e+00	9.15967510e-03	13	true
2               	DILUPBiCGStab	1.48768530e-03	9.75628490e-06	1	2.72817560e-02	1.70269270e-04	1	1.46942420e-02	9.62505730e-05	1	false	DILUPBiCGStab	1.78594610e-03	1.76909790e-04	1	true	DILUPBiCGStab	8.25240580e-05	4.60017440e-07	1	true	GAMG	1.89239220e-02	1.18445200e-04	12	true
3               	DILUPBiCGStab	1.22976890e-03	8.29726720e-06	1	2.39528920e-02	1.56763990e-04	1	5.80881630e-03	4.07928970e-05	1	false	DILUPBiCGStab	4.52611490e-03	3.74431180e-05	1	true	DILUPBiCGStab	5.42253210e-05	3.88452530e-07	1	true	GAMG	1.60023780e-02	1.44806890e-04	9	true
4               	DILUPBiCGStab	7.00392320e-04	5.14122330e-06	1	1.62476450e-02	1.06885440e-04	1	3.38083500e-03	2.51794520e-05	1	false	DILUPBiCGStab	1.13917440e-02	8.88885530e-05	1	true	DILUPBiCGStab	5.36140020e-05	4.50743390e-07	1	true	GAMG	2.05828870e-02	1.38701000e-04	11	true
5               	DILUPBiCGStab	4.30428830e-04	3.49328140e-06	1	7.40170150e-03	4.74836200e-05	1	1.37299820e-03	1.09103110e-05	1	false	DILUPBiCGStab	2.56546570e-02	1.91298200e-04	1	true	DILUPBiCGStab	5.65228120e-05	5.06835540e-07	1	true	GAMG	2.26778900e-02	1.64468020e-04	11	true
6               	DILUPBiCGStab	3.10641460e-04	1.76863580e-06	1	3.49091630e-03	2.52311680e-05	1	3.42979900e-04	2.45180920e-06	1	false	DILUPBiCGStab	6.81657630e-03	5.70414030e-05	1	true	DILUPBiCGStab	5.93145350e-05	5.40907220e-07	1	true	GAMG	2.08864710e-02	1.40621170e-04	11	true
7               	DILUPBiCGStab	3.23288070e-04	2.47388620e-05	1	1.20947200e-02	8.42487910e-05	1	5.17744140e-04	3.45298790e-06	1	false	DILUPBiCGStab	2.50856010e-03	3.11348580e-05	1	true	DILUPBiCGStab	6.15574120e-05	5.90701240e-07	1	true	GAMG	2.92257950e-02	2.02842170e-04	10	true
8               	DILUPBiCGStab	3.06059120e-04	2.52241270e-05	1	1.13842820e-01	8.59174370e-04	1	5.34283890e-04	3.92057780e-06	1	false	DILUPBiCGStab	1.30144670e-03	1.84407320e-05	1	true	DILUPBiCGStab	6.45491210e-05	6.90209180e-07	1	true	GAMG	4.56036060e-02	2.74066540e-04	10	true
9               	DILUPBiCGStab	2.28691870e-04	2.19187230e-05	1	1.53441870e-02	1.17548040e-04	1	3.82847310e-04	2.93223460e-06	1	false	DILUPBiCGStab	9.47795370e-04	1.18481430e-05	1	true	DILUPBiCGStab	6.90205620e-05	8.62507740e-07	1	true	GAMG	5.79993220e-02	5.19367200e-04	10	true
10              	DILUPBiCGStab	1.55087150e-04	1.37904590e-06	1	5.17533060e-03	4.69581010e-04	1	1.87185980e-04	1.55898730e-06	1	false	DILUPBiCGStab	7.43291620e-04	6.88542510e-06	1	true	DILUPBiCGStab	7.44939640e-05	1.10123320e-06	1	true	GAMG	5.67515120e-02	3.77663190e-04	12	true
11              	DILUPBiCGStab	2.00394900e-04	2.40232890e-06	1	4.11144040e-03	3.01511130e-05	1	1.18200880e-04	1.14393860e-06	1	false	DILUPBiCGStab	6.06330380e-04	5.18101330e-06	1	true	DILUPBiCGStab	8.20861320e-05	1.38453900e-06	1	true	GAMG	4.14774610e-02	2.93946980e-04	12	true
12              	DILUPBiCGStab	2.91359290e-04	2.47051210e-06	1	6.71438690e-03	5.52661620e-05	1	1.66027720e-04	1.65910210e-06	1	false	DILUPBiCGStab	5.29584820e-04	4.46072630e-06	1	true	DILUPBiCGStab	9.25738610e-05	1.66125580e-06	1	true	GAMG	3.73234850e-02	2.12812610e-04	10	true
13              	DILUPBiCGStab	3.08889560e-04	1.92281830e-06	1	9.48574630e-03	8.56883900e-05	1	1.77634200e-04	1.80247910e-06	1	false	DILUPBiCGStab	4.94834700e-04	4.57329100e-06	1	true	DILUPBiCGStab	1.05456360e-04	1.85709980e-06	1	true	GAMG	3.88557940e-02	2.48615330e-04	9	true
14              	DILUPBiCGStab	2.51040980e-04	1.43696590e-06	1	1.01133410e-02	9.80711490e-05	1	1.40515890e-04	1.48547930e-06	1	false	DILUPBiCGStab	4.80810740e-04	5.22459190e-06	1	true	DILUPBiCGStab	1.22497870e-04	1.99944280e-06	1	true	GAMG	3.50976010e-02	2.97339850e-04	10	true
15              	DILUPBiCGStab	1.67990040e-04	1.20470410e-06	1	6.93680380e-03	5.72482230e-05	1	9.00000490e-05	1.06183920e-06	1	false	DILUPBiCGStab	4.81084910e-04	6.17416230e-06	1	true	DILUPBiCGStab	1.47023470e-04	2.18624110e-06	1	true	GAMG	2.86084280e-02	2.45633400e-04	10	true
16              	DILUPBiCGStab	1.26292650e-04	1.22582990e-06	1	5.12106830e-03	4.42879460e-05	1	7.10829240e-05	7.51517130e-07	1	false	DILUPBiCGStab	4.92421590e-04	7.12945510e-06	1	true	DILUPBiCGStab	1.85358300e-04	2.55351120e-06	1	true	GAMG	2.29288600e-02	2.23838750e-04	11	true
17              	DILUPBiCGStab	1.71332710e-04	1.12925820e-06	1	4.19202840e-03	3.73408650e-05	1	7.72493030e-05	7.24622380e-07	1	false	DILUPBiCGStab	5.04396590e-04	7.77001520e-06	1	true	DILUPBiCGStab	2.48667020e-04	3.26050850e-06	1	true	GAMG	2.16395420e-02	1.63239760e-04	11	true
18              	DILUPBiCGStab	2.07857560e-04	1.87731620e-05	1	2.96393580e-03	2.68662600e-05	1	7.60505180e-05	6.82853460e-07	1	false	DILUPBiCGStab	5.84843040e-04	8.55455680e-06	1	true	DILUPBiCGStab	3.64467040e-04	4.66306050e-06	1	true	GAMG	2.94289380e-02	1.43747370e-04	9	true
19              	DILUPBiCGStab	1.94965430e-04	1.48938250e-05	1	1.81241300e-03	1.68670750e-05	1	5.85921260e-05	5.38985180e-07	1	false	DILUPBiCGStab	6.26623550e-04	9.29793420e-06	1	true	DILUPBiCGStab	6.38634020e-04	8.16329080e-06	1	true	GAMG	3.57299790e-02	2.22740310e-04	10	true
20              	DILUPBiCGStab	1.50810030e-04	1.20162790e-05	1	1.19896350e-03	1.17035200e-05	1	4.26981600e-05	4.90517480e-07	1	false	DILUPBiCGStab	7.54879230e-04	1.07716950e-05	1	true	DILUPBiCGStab	2.14545260e-03	2.74897340e-05	1	true	GAMG	3.42498530e-02	3.42447360e-04	11	true
21              	DILUPBiCGStab	1.00594610e-04	5.04424900e-07	1	1.18590110e-03	1.23972240e-05	1	4.17592880e-05	5.65625250e-07	1	false	DILUPBiCGStab	9.20404380e-04	1.30764880e-05	1	true	DILUPBiCGStab	1.65357830e-03	2.11017680e-05	1	true	GAMG	2.77461770e-02	1.91749430e-04	13	true
22              	DILUPBiCGStab	8.46057140e-05	7.21343640e-07	1	1.33629240e-03	1.43051060e-05	1	4.55936950e-05	5.99635810e-07	1	false	DILUPBiCGStab	1.16612510e-03	1.58908890e-05	1	true	DILUPBiCGStab	6.38147960e-04	8.07080790e-06	1	true	GAMG	2.23039200e-02	1.50684660e-04	10	true
23              	DILUPBiCGStab	1.28084720e-04	6.67848160e-07	1	1.32144550e-03	1.37883740e-05	1	4.53070460e-05	5.25170750e-07	1	false	DILUPBiCGStab	1.66407610e-03	2.20419370e-05	1	true	DILUPBiCGStab	4.01922620e-04	5.01411360e-06	1	true	GAMG	1.96954880e-02	1.78982220e-04	9	true
24              	DILUPBiCGStab	1.48182650e-04	1.30942090e-05	1	1.21778330e-03	1.19465290e-05	1	4.26449980e-05	4.31934380e-07	1	false	DILUPBiCGStab	3.15788940e-03	3.91605200e-05	1	true	DILUPBiCGStab	2.94078880e-04	3.61793870e-06	1	true	GAMG	1.86424560e-02	1.18652290e-04	10	true
25              	DILUPBiCGStab	1.32640490e-04	1.06316680e-05	1	1.14390130e-03	1.16505280e-05	1	3.92013890e-05	3.97546180e-07	1	false	DILUPBiCGStab	2.39256930e-02	3.03471150e-04	1	true	DILUPBiCGStab	2.32463830e-04	2.83051310e-06	1	true	GAMG	1.58683820e-02	1.54658510e-04	11	true
26              	DILUPBiCGStab	9.76082170e-05	9.44219120e-06	1	1.07677330e-03	1.31345660e-05	1	3.58054090e-05	3.90585270e-07	1	false	DILUPBiCGStab	3.49307650e-03	4.39526970e-05	1	true	DILUPBiCGStab	1.93057210e-04	2.33278580e-06	1	true	GAMG	1.38703870e-02	1.24720730e-04	12	true
27              	DILUPBiCGStab	7.09488900e-05	4.57089660e-07	1	9.76857570e-04	1.21476930e-05	1	3.25833460e-05	3.65131520e-07	1	false	DILUPBiCGStab	1.80703400e-03	2.24591770e-05	1	true	DILUPBiCGStab	1.66606400e-04	1.99967290e-06	1	true	GAMG	1.36135050e-02	1.27342470e-04	12	true
28              	DILUPBiCGStab	8.80263400e-05	4.88616370e-07	1	7.95067030e-04	9.18539780e-06	1	2.84501570e-05	3.09527120e-07	1	false	DILUPBiCGStab	1.20889340e-03	1.50444760e-05	1	true	DILUPBiCGStab	1.47877910e-04	1.77534240e-06	1	true	GAMG	1.40749390e-02	8.82864240e-05	12	true
29              	DILUPBiCGStab	1.11301860e-04	1.05846460e-05	1	6.47713670e-04	6.62547970e-06	1	2.45342460e-05	2.52694530e-07	1	false	DILUPBiCGStab	9.49254960e-04	1.16465920e-05	1	true	DILUPBiCGStab	1.33835380e-04	1.61245900e-06	1	true	GAMG	1.47376660e-02	1.31615870e-04	10	true
30              	DILUPBiCGStab	1.05800240e-04	8.49454740e-06	1	6.28891330e-04	5.94276730e-06	1	2.33102060e-05	2.34323660e-07	1	false	DILUPBiCGStab	7.50792360e-04	9.42343640e-06	1	true	DILUPBiCGStab	1.22866340e-04	1.48838480e-06	1	true	GAMG	1.40615210e-02	1.22539390e-04	11	true
31              	DILUPBiCGStab	8.13159480e-05	7.03635520e-06	1	6.68163890e-04	8.24990130e-06	1	2.45244200e-05	2.54331420e-07	1	false	DILUPBiCGStab	6.58810860e-04	8.03462600e-06	1	true	DILUPBiCGStab	1.14254790e-04	1.39368350e-06	1	true	GAMG	1.23511000e-02	7.62722340e-05	14	true
32              	DILUPBiCGStab	5.32865550e-05	2.34800740e-07	1	7.21398500e-04	1.09111760e-05	1	2.59968910e-05	2.78728010e-07	1	false	DILUPBiCGStab	5.83764050e-04	6.66768170e-06	1	true	DILUPBiCGStab	1.07280360e-04	1.31570920e-06	1	true	GAMG	1.12638300e-02	1.06923450e-04	12	true
33              	DILUPBiCGStab	4.60826590e-05	3.88083880e-07	1	7.62227960e-04	1.05110050e-05	1	2.67178890e-05	2.83815170e-07	1	false	DILUPBiCGStab	5.21099670e-04	5.56217480e-06	1	true	DILUPBiCGStab	1.01338420e-04	1.24851050e-06	1	true	GAMG	9.76704030e-03	7.65579990e-05	12	true
34              	DILUPBiCGStab	7.02374500e-05	3.54070400e-07	1	8.09122290e-04	8.77942330e-06	1	2.65383530e-05	2.73399740e-07	1	false	DILUPBiCGStab	4.67343470e-04	4.57992170e-06	1	true	DILUPBiCGStab	9.61962300e-05	1.18647160e-06	1	true	GAMG	8.14758230e-03	5.88908380e-05	10	true
35              	DILUPBiCGStab	7.82282000e-05	2.32617470e-07	1	8.29406760e-04	7.30732000e-06	1	2.56342340e-05	2.66569200e-07	1	false	DILUPBiCGStab	4.19545470e-04	3.77904720e-06	1	true	DILUPBiCGStab	9.16309700e-05	1.12768170e-06	1	true	GAMG	7.07098270e-03	6.73365520e-05	11	true
36              	DILUPBiCGStab	6.77010990e-05	2.10517910e-07	1	7.92849660e-04	6.86137020e-06	1	2.40451300e-05	2.61342540e-07	1	false	DILUPBiCGStab	3.79437740e-04	3.17875140e-06	1	true	DILUPBiCGStab	8.76325020e-05	1.07240780e-06	1	true	GAMG	6.66438510e-03	6.37879420e-05	12	true
37              	DILUPBiCGStab	4.96459270e-05	2.89250860e-07	1	7.14347530e-04	7.68320840e-06	1	2.20706920e-05	2.50377360e-07	1	false	DILUPBiCGStab	3.49004060e-04	2.75998710e-06	1	true	DILUPBiCGStab	8.39510290e-05	1.01458560e-06	1	true	GAMG	6.84501660e-03	5.03797370e-05	13	true
38              	DILUPBiCGStab	3.95895360e-05	3.63442130e-07	1	6.45961960e-04	8.08511660e-06	1	2.02713190e-05	2.33270200e-07	1	false	DILUPBiCGStab	3.30056950e-04	2.49065670e-06	1	true	DILUPBiCGStab	8.07950940e-05	9.55801300e-07	1	true	GAMG	6.89148650e-03	4.19843440e-05	13	true
39              	DILUPBiCGStab	5.25057590e-05	3.32220810e-07	1	6.22939760e-04	7.13161850e-06	1	1.92574860e-05	2.16474250e-07	1	false	DILUPBiCGStab	3.11185550e-04	2.34633540e-06	1	true	DILUPBiCGStab	7.78964710e-05	8.95790230e-07	1	true	GAMG	6.58122920e-03	4.31802570e-05	10	true
40              	DILUPBiCGStab	6.03170570e-05	2.11443150e-07	1	6.39798180e-04	6.17999340e-06	1	1.93340960e-05	2.08639150e-07	1	false	DILUPBiCGStab	2.95507940e-04	2.31080650e-06	1	true	DILUPBiCGStab	7.53943200e-05	8.38443740e-07	1	true	GAMG	6.19246410e-03	4.58708910e-05	11	true
41              	DILUPBiCGStab	5.35858590e-05	5.14669030e-06	1	6.78229250e-04	6.02093400e-06	1	1.99810060e-05	2.08375000e-07	1	false	DILUPBiCGStab	2.92575710e-04	2.25766750e-06	1	true	DILUPBiCGStab	7.30376790e-05	7.83366630e-07	1	true	GAMG	5.83178930e-03	5.53205140e-05	12	true
42              	DILUPBiCGStab	3.90602080e-05	1.41985000e-07	1	7.16970210e-04	6.64335520e-06	1	2.05020920e-05	2.10051200e-07	1	false	DILUPBiCGStab	2.87170200e-04	2.53343130e-06	1	true	DILUPBiCGStab	7.09936920e-05	7.33068830e-07	1	true	GAMG	5.27273630e-03	4.06052710e-05	13	true
43              	DILUPBiCGStab	2.66707340e-05	1.77987190e-07	1	7.52932370e-04	7.62284810e-06	1	2.06296230e-05	2.09710070e-07	1	false	DILUPBiCGStab	2.80495210e-04	2.60201170e-06	1	true	DILUPBiCGStab	6.91214370e-05	6.86857290e-07	1	true	GAMG	4.94868040e-03	3.57125510e-05	13	true
44              	DILUPBiCGStab	2.87158400e-05	1.95916060e-07	1	7.70137040e-04	8.11276510e-06	1	2.03241090e-05	2.04317580e-07	1	false	DILUPBiCGStab	2.72653060e-04	2.68305570e-06	1	true	DILUPBiCGStab	6.74433580e-05	6.45362190e-07	1	true	GAMG	4.43883200e-03	3.21141550e-05	11	true
45              	DILUPBiCGStab	3.92743860e-05	1.77668920e-07	1	7.56032230e-04	7.87861190e-06	1	1.96474050e-05	1.93960480e-07	1	false	DILUPBiCGStab	2.62691870e-04	2.73264090e-06	1	true	DILUPBiCGStab	6.59110010e-05	6.08749920e-07	1	true	GAMG	3.99644680e-03	2.35111770e-05	11	true
46              	DILUPBiCGStab	3.93602250e-05	3.91394280e-06	1	7.18025110e-04	7.27737770e-06	1	1.87610240e-05	1.80870980e-07	1	false	DILUPBiCGStab	2.52519740e-04	2.62200720e-06	1	true	DILUPBiCGStab	6.44777510e-05	5.76919360e-07	1	true	GAMG	3.83744660e-03	3.27327300e-05	12	true
47              	DILUPBiCGStab	3.20987360e-05	1.31743040e-07	1	6.75923540e-04	6.69120640e-06	1	1.78914120e-05	1.68002460e-07	1	false	DILUPBiCGStab	2.43095130e-04	2.73731440e-06	1	true	DILUPBiCGStab	6.32242390e-05	5.49541890e-07	1	true	GAMG	3.56677480e-03	3.07627310e-05	13	true
48              	DILUPBiCGStab	2.47780570e-05	1.37360480e-07	1	6.48133870e-04	6.38281260e-06	1	1.73134730e-05	1.58249380e-07	1	false	DILUPBiCGStab	2.34675830e-04	2.58929910e-06	1	true	DILUPBiCGStab	6.20591380e-05	5.26084070e-07	1	true	GAMG	3.66448960e-03	2.80452680e-05	13	true
49              	DILUPBiCGStab	2.60787630e-05	1.38780500e-07	1	6.40662920e-04	6.37446880e-06	1	1.71685260e-05	1.52607660e-07	1	false	DILUPBiCGStab	2.29601470e-04	2.43427540e-06	1	true	DILUPBiCGStab	6.10435980e-05	5.06430360e-07	1	true	GAMG	3.60766050e-03	3.06788650e-05	11	true
50              	DILUPBiCGStab	3.32001940e-05	3.20638490e-06	1	6.44892870e-04	6.40459330e-06	1	1.72843560e-05	1.49870940e-07	1	false	DILUPBiCGStab	2.28930490e-04	2.21984370e-06	1	true	DILUPBiCGStab	6.00722060e-05	4.88950600e-07	1	true	GAMG	3.51269290e-03	3.23378680e-05	10	true
51              	DILUPBiCGStab	3.27509550e-05	2.81720230e-06	1	6.50827400e-04	6.38318670e-06	1	1.74240570e-05	1.48184820e-07	1	false	DILUPBiCGStab	2.27208580e-04	2.09212340e-06	1	true	DILUPBiCGStab	5.92393850e-05	4.73925340e-07	1	true	GAMG	3.28844730e-03	2.78916160e-05	10	true
52              	DILUPBiCGStab	2.60609580e-05	2.23986180e-06	1	6.53305810e-04	6.23303400e-06	1	1.74331130e-05	1.46188680e-07	1	false	DILUPBiCGStab	2.28535840e-04	1.93902280e-06	1	true	DILUPBiCGStab	5.84260920e-05	4.59854130e-07	1	true	GAMG	2.93385170e-03	1.98944870e-05	13	true
53              	DILUPBiCGStab	1.82967730e-05	1.77924610e-06	1	6.49327690e-04	5.94068430e-06	1	1.72537370e-05	1.42908000e-07	1	false	DILUPBiCGStab	2.29130430e-04	1.78208110e-06	1	true	DILUPBiCGStab	5.77292340e-05	4.47714910e-07	1	true	GAMG	2.88230460e-03	2.01946380e-05	13	true
54              	DILUPBiCGStab	1.52132750e-05	7.72624790e-08	1	6.35868190e-04	5.49284460e-06	1	1.69102840e-05	1.38127370e-07	1	false	DILUPBiCGStab	2.28363890e-04	1.65554270e-06	1	true	DILUPBiCGStab	5.70303880e-05	4.36490950e-07	1	true	GAMG	2.74780930e-03	2.32132570e-05	11	true
55              	DILUPBiCGStab	2.01055710e-05	2.00116200e-06	1	6.14558980e-04	4.98242940e-06	1	1.64765690e-05	1.32319980e-07	1	false	DILUPBiCGStab	2.26437010e-04	1.50185300e-06	1	true	DILUPBiCGStab	5.64089510e-05	4.27038500e-07	1	true	GAMG	2.58540840e-03	1.89405790e-05	8	true
56              	DILUPBiCGStab	2.19396440e-05	2.04937980e-06	1	5.93547790e-04	4.53098450e-06	1	1.60602870e-05	1.26667960e-07	1	false	DILUPBiCGStab	2.23648250e-04	1.40421820e-06	1	true	DILUPBiCGStab	5.57358640e-05	4.17585370e-07	1	true	GAMG	2.42330260e-03	1.81962840e-05	11	true
57              	DILUPBiCGStab	1.97834010e-05	1.88168460e-06	1	5.79279710e-04	4.22530030e-06	1	1.57490960e-05	1.22279060e-07	1	false	DILUPBiCGStab	2.21133010e-04	1.31989100e-06	1	true	DILUPBiCGStab	5.51380470e-05	4.09562780e-07	1	true	GAMG	2.24034390e-03	1.34319800e-05	13	true
58              	DILUPBiCGStab	1.66018840e-05	7.91567140e-08	1	5.72982650e-04	4.06078230e-06	1	1.55784140e-05	1.19598010e-07	1	false	DILUPBiCGStab	2.19528400e-04	1.26269370e-06	1	true	DILUPBiCGStab	5.44830240e-05	4.01669340e-07	1	true	GAMG	2.27566660e-03	1.42069920e-05	13	true
59              	DILUPBiCGStab	1.65985550e-05	8.17558910e-08	1	5.71679470e-04	3.99173780e-06	1	1.55165930e-05	1.18234940e-07	1	false	DILUPBiCGStab	2.18669460e-04	1.20680550e-06	1	true	DILUPBiCGStab	5.38991320e-05	3.95085530e-07	1	true	GAMG	2.33391590e-03	1.64665950e-05	11	true
60              	DILUPBiCGStab	2.02826410e-05	1.92579770e-06	1	5.72199570e-04	3.96732220e-06	1	1.54958950e-05	1.17562230e-07	1	false	DILUPBiCGStab	2.19918880e-04	2.19200390e-05	1	true	DILUPBiCGStab	5.32154140e-05	3.88045610e-07	1	true	GAMG	2.18145900e-03	1.92044500e-05	8	true
61              	DILUPBiCGStab	2.09680370e-05	1.86497430e-06	1	5.73180170e-04	3.94286540e-06	1	1.54463540e-05	1.16880120e-07	1	false	DILUPBiCGStab	2.21675460e-04	1.28837920e-06	1	true	DILUPBiCGStab	5.25870950e-05	3.82114520e-07	1	true	GAMG	2.08064870e-03	1.66816200e-05	11	true
62              	DILUPBiCGStab	1.85428690e-05	1.64059550e-06	1	5.72751140e-04	3.89401600e-06	1	1.53305350e-05	1.15635440e-07	1	false	DILUPBiCGStab	2.24277430e-04	1.21606640e-06	1	true	DILUPBiCGStab	5.18664890e-05	3.75629900e-07	1	true	GAMG	1.91036730e-03	1.29609680e-05	12	true
63              	DILUPBiCGStab	1.43731240e-05	1.35187380e-06	1	5.69926120e-04	3.81724350e-06	1	1.51446160e-05	1.13794990e-07	1	false	DILUPBiCGStab	2.26907430e-04	2.24945790e-05	1	true	DILUPBiCGStab	5.11947580e-05	3.70088060e-07	1	true	GAMG	1.88478090e-03	1.46960810e-05	11	true
64              	DILUPBiCGStab	1.10272550e-05	5.74479950e-08	1	5.64939940e-04	3.73371490e-06	1	1.49142070e-05	1.11621350e-07	1	false	DILUPBiCGStab	2.29471150e-04	1.35506040e-06	1	true	DILUPBiCGStab	5.04508400e-05	3.64161080e-07	1	true	GAMG	1.89831910e-03	1.12788580e-05	9	true
65              	DILUPBiCGStab	1.20067710e-05	6.08353140e-08	1	5.59791090e-04	3.67457830e-06	1	1.46790980e-05	1.09368230e-07	1	false	DILUPBiCGStab	2.30807380e-04	1.27686030e-06	1	true	DILUPBiCGStab	4.97503070e-05	3.59030010e-07	1	true	GAMG	1.86610780e-03	1.40383140e-05	8	true
